timestamp,open,high,low,close,volume
1733097600000,97348.5,99300,93600,98178,2931852434,30451.14790785
1732492800000,98073,99087,90817.5,97348.5,6322837487,66275.29001177
1731888000000,89909.5,99776,89421.5,98073,10423746494,109729.19815382
1731283200000,80471,93550,80334,89909.5,12306222194,139328.36544113
1730678400000,68741.5,81734,66778.5,80471,8000199048,107131.0251935
1730073600000,67955.5,73666,67430,68741.5,5039444426,71472.41988148
1729468800000,69032,69550,65174,67955.5,3610754557,53758.89517066
1728864000000,62827.5,69432.5,62399.5,69032,4109699052,61462.99198819
1728259200000,62799,64448,58821,62827.5,2964175154,47770.62746026
1727654400000,65592,65614.5,59817,62799,3573600863,57621.64284095
1727049600000,63554,66497,62491.5,65592,2892650207,44936.62505097
1726444800000,59108.5,64145,57438,63554,3293042562,53888.86248008
1725840000000,54859.5,60659,54564.5,59108.5,2858528448,49463.53854048
1725235200000,57277,59801,52475,54859.5,4034287828,71438.1738043
1724630400000,64228,64469,57021,57277,5579448173,93193.81160072
1724025600000,58392,65039,57753.5,64228,5050839752,82653.60792877
1723420800000,58706,61856.5,56057.5,58392,6062194256,102581.01113082
1722816000000,58122,62771.5,48900,58706,8563782607,152788.62064109
1722211200000,68271.5,70098.5,57018.5,58122,7188168285,112698.49521889
1721606400000,68194.5,69491,63448,68271.5,5125303296,76668.48124897
1721001600000,60769.5,68406,60630.5,68194.5,5011810058,77156.70909799
1720396800000,55858,61443.5,54256,60769.5,4300159503,74465.28718056
1719792000000,62706.5,63807.5,53216,55858,5258834445,90235.5982241
1719187200000,63146,63297.5,58166,62706.5,4207719535,68858.88428446
1718582400000,66611,67301.5,63102,63146,3275475657,50382.36192024
1717977600000,69681.5,70196,65020,66611,3606304880,53318.53898362
1717372800000,67758.5,72086,67603.5,69681.5,4643427379,66003.18518874
1716768000000,68503,70749.5,66625.5,67758.5,2946340467,43164.75968681
1716163200000,66248.5,72069.5,66039,68503,4304375490,62337.4092101
1715558400000,61428,67748.5,60718,66248.5,3571586397,55230.0659902
1714953600000,64003,65524,60102,61428,3409293478,54530.24671761
1714348800000,63061.5,64692.5,56415,64003,5280516131,87229.52995533
1713744000000,64936,67243,62324.5,63061.5,3402753328,52580.60470174
1713139200000,65704.5,66896,59555,64936,5412671291,85598.3057659
1712534400000,69365,72874.5,59800,65704.5,8006606244,118565.77227871
1711929600000,71401.5,71419,64384.5,69365,5396085632,79913.08802871
1711324800000,67272,71870,66418.5,71401.5,5731331530,81979.15590134
1710720000000,68386.5,68991,60777,67272,8135881933,125016.9309361
1710115200000,69106.5,73951.5,64540,68386.5,12713354575,181374.93822741
1709510400000,63205.5,70447,59088,69106.5,12754504353,191876.55126248
1708905600000,51770.5,64462,50912,63205.5,10227239975,170931.49615773
1708300800000,52168,53094.5,50514,51770.5,3836645236,74309.52528908
1707696000000,48331,52858,47710,52168,5507337699,108493.08552204
1707091200000,42542,48636,42206,48331,3894229660,85609.09432149
1706486400000,42014.5,43890,41764.5,42542,2958728690,69044.78223514
1705881600000,41580,42825.5,38500,42014.5,3246879911,80233.83523341
1705276800000,41675,43561.5,40204,41580,2937351399,69853.1111524
1704672000000,43925,49045.5,41298.5,41675,7907951758,173756.25301112
1704067200000,42302,46000,40200,43925,5681507928,129956.22848885
1703462400000,43038,43873,41260,42302,3565873765,83495.94705939
1702857600000,41353,44492,40532,43038,4267065379,99148.45697586
1702252800000,43841.5,43862,40088,41353,5185815886,123432.42652054
1701648000000,40027,44769,40021.5,43841.5,5331440883,123899.90841665
1701043200000,37459.5,40454,36710,40027,3241501930,84695.63440081
1700438400000,37379,38450,35600,37459.5,3706577290,99511.24367235
1699833600000,37109,38006.5,34469.5,37379,4545128573,124465.75499511
1699228800000,35051.5,38107,34523,37109,4823019826,133180.16759373
1698624000000,34557,36098.5,34031.5,35051.5,4563478787,131331.71118585
1698019200000,29990.5,35750,29883,34557,5639639348,168377.94578243
