timestamp,open,high,low,close,volume
1556596800000,5145,5149.5,5125.5,5145,9840219,1914.8584487099968
1556582400000,5140.5,5159,5134.5,5145,12515779,2431.1975741499873
1556568000000,5145.5,5149,5091,5140.5,12395864,2417.36855537
1556553600000,5141.5,5165,5111,5145.5,13496506,2622.674707929996
1556539200000,5149,5170,5068,5141.5,14397006,2805.5783208400026
1556524800000,5155,5163.5,5121.5,5149,9340223,1814.7105416699947
1556510400000,5171.5,5187,5154,5155,9619548,1860.2726047800006
1556496000000,5153,5178.5,5146,5171.5,9712700,1879.4523962599915
1556481600000,5139.5,5157,5099.5,5153,11828499,2302.727171839996
1556467200000,5190,5192,5087.5,5139.5,11965412,2317.3449546799934
1556452800000,5207.5,5208,5148,5190,13340128,2577.9229758299975
1556438400000,5175,5212,5170,5207.5,7141479,1377.0209093199992
1556424000000,5165,5175.5,5155,5175,7548617,1461.9919052999999
1556409600000,5163,5180,5131,5165,7364709,1425.7709224999953
1556395200000,5195,5209.5,5154,5163,7908856,1523.8680878799978
1556380800000,5152,5224.5,5150.5,5195,6984669,1349.6883645000012
1556366400000,5161,5181,5141,5152,7542813,1462.5738506800005
1556352000000,5169.5,5170.5,5147,5161,5506109,1067.418663180001
1556337600000,5136.5,5179.5,5108,5169.5,7223740,1405.5944117199986
1556323200000,5149,5165.5,5134.5,5136.5,5886396,1143.5305770000004
1556308800000,5075.5,5169,5055,5149,7202607,1407.065668019999
1556294400000,5133.5,5133.5,5042,5075.5,10156225,1994.586508869998
1556280000000,5156,5180.5,5123,5133.5,7676211,1489.3051686000003
1556265600000,5161,5192,5129,5156,8907868,1723.7545365499973
1556251200000,5199.5,5234.5,5148.5,5161,12924512,2493.1438893200007
1556236800000,5120.5,5268,5061,5199.5,21502769,4164.7173595
1556222400000,5483.5,5496.5,4962,5120.5,78662187,15259.085969260044
1556208000000,5457,5503.5,5457,5483.5,10568447,1927.3908603199995
1556193600000,5466.5,5470.5,5437,5457,10376846,1902.8231458200005
1556179200000,5423,5466.5,5374,5466.5,9202100,1696.398522569997
1556164800000,5437,5445,5391.5,5423,12666002,2337.5282826899984
1556150400000,5440,5455.5,5406,5437,11145892,2049.7010096499953
1556136000000,5427.5,5444,5412,5440,10844738,1996.4564988599986
1556121600000,5456,5463.5,5367,5427.5,16036258,2959.3988054900015
1556107200000,5430.5,5474.5,5426,5456,12628489,2314.7452162300037
1556092800000,5463.5,5484.5,5381,5430.5,18354091,3367.7736262199996
1556078400000,5574.5,5620.5,5371,5463.5,22823291,4126.582528589996
1556064000000,5530,5582,5493,5574.5,11179464,2015.6110949999954
1556049600000,5585,5585,5517.5,5530,14309284,2574.7822781699965
1556035200000,5560,5615.5,5545.5,5585,16678685,2985.72112293
1556020800000,5551,5589.5,5546.5,5560,12833640,2304.87259002999
1556006400000,5536.5,5580,5509,5551,12120668,2186.501734559999
1555992000000,5427,5650.5,5427,5536.5,28355839,5119.938637850012
1555977600000,5383,5444.5,5365.5,5427,10167872,1885.2310033899976
1555963200000,5382,5402.5,5360,5383,11852225,2202.638681850001
1555948800000,5307.5,5437.5,5280,5382,14372651,2687.683881260001
1555934400000,5309.5,5437,5215,5307.5,13326500,2501.477273509999
1555920000000,5277,5328,5271.5,5309.5,12202835,2302.9544346499947
1555905600000,5257.5,5287.5,5257.5,5277,11009546,2086.1550079299973
1555891200000,5296,5299,5256,5257.5,10656479,2019.6913651799994
1555876800000,5255.5,5303.5,5231,5296,11919694,2260.091378889993
1555862400000,5278,5279,5226,5255.5,12269730,2333.3138767700025
1555848000000,5258.5,5278,5210,5278,13307201,2532.4909588999935
1555833600000,5316.5,5317.5,5227.5,5258.5,19807004,3756.872523199999
1555819200000,5335.5,5335.5,5311,5316.5,10827762,2034.7696038099948
1555804800000,5319.5,5348,5317.5,5335.5,10229055,1918.6740464500074
1555790400000,5317,5333,5255,5319.5,13443604,2536.3805466100002
1555776000000,5316,5327,5303.5,5317,10860621,2043.494700279995
1555761600000,5308.5,5325.5,5296.5,5316,10849696,2041.2131839799983
1555747200000,5329,5356.5,5294.5,5308.5,12477671,2346.0226862599984
1555732800000,5304.5,5343,5297,5329,9802196,1841.5167431300047
1555718400000,5287.5,5328.5,5281.5,5304.5,12110976,2285.2483631099985
1555704000000,5299.5,5303.5,5252.5,5287.5,12330267,2335.7891296899975
1555689600000,5280.5,5379,5257,5299.5,22952314,4333.958390269995
1555675200000,5258,5285.5,5235,5280.5,11089548,2109.1276259300007
1555660800000,5243.5,5264,5231,5258,8970733,1709.0336491699945
1555646400000,5225.5,5243.5,5219.5,5243.5,8253384,1577.0374514899995
1555632000000,5278,5278.5,5166.5,5225.5,13670700,2612.8687321999932
1555617600000,5292,5313.5,5250,5278,10950418,2069.2028217200077
1555603200000,5249,5311,5232,5292,13242830,2510.554263280002
1555588800000,5236.5,5291.5,5235.5,5249,10266563,1955.094331080002
1555574400000,5265,5266.5,5224,5236.5,9517673,1816.0285349600033
1555560000000,5274,5305.5,5251.5,5265,11282415,2141.1038925600046
1555545600000,5227,5286,5226,5274,10847041,2064.033491449999
1555531200000,5239.5,5247.5,5208,5227,11832056,2264.0982448000022
1555516800000,5205,5240,5193.5,5239.5,10007960,1919.2489208300026
1555502400000,5248.5,5264.5,5155,5205,14395486,2763.465075489998
1555488000000,5216.5,5259.5,5191,5248.5,12297946,2356.2309613499947
1555473600000,5229,5238,5207.5,5216.5,9260335,1773.6398042500002
1555459200000,5205,5278.5,5187.5,5229,17515081,3351.3246318300057
1555444800000,5191.5,5217,5179,5205,12604029,2425.8086002099967
1555430400000,5082,5242,5076,5191.5,22451494,4341.850047440007
1555416000000,5068.5,5095.5,5015,5082,11642348,2305.614455599997
1555401600000,5069,5081.5,5053.5,5068.5,10047671,1982.1888539200033
1555387200000,5046,5083,5046,5069,8739795,1726.0264828299962
1555372800000,5028.5,5056,5020.5,5046,6925242,1373.8631001099982
1555358400000,5007,5050,4948.5,5028.5,14630717,2915.7234769199904
1555344000000,5152.5,5157,4988,5007,15671497,3096.406094989996
1555329600000,5131.5,5169.5,5119,5152.5,9743467,1893.5984890499992
1555315200000,5158.5,5159.5,5125.5,5131.5,10581532,2056.1663838799986
1555300800000,5161,5189.5,5136,5158.5,10304523,1995.81761874
1555286400000,5160,5181.5,5150.5,5161,9798332,1897.6442069399964
1555272000000,5086,5180.5,5084.5,5160,13076596,2549.819360789998
1555257600000,5074,5106.5,5074,5086,11079587,2176.0252995600026
1555243200000,5064.5,5082.5,5057,5074,8980003,1771.2043974299945
1555228800000,5064.5,5078,5053.5,5064.5,10423427,2057.751149369994
1555214400000,5053,5070,5013,5064.5,10665534,2115.3628282299965
1555200000000,5066,5084.5,5045.5,5053,10757651,2123.1154264800007
1555185600000,5081,5087,5035,5066,12264035,2418.9489203800135
1555171200000,5085.5,5099.5,5072.5,5081,13432019,2641.5449936900004
1555156800000,5060,5115,5058.5,5085.5,11317105,2226.3281518999966
1555142400000,5087.5,5090.5,5041,5060,12524017,2472.1523613000013
1555128000000,5103,5113,5078.5,5087.5,8065205,1580.8184445300026
1555113600000,5075.5,5112.5,5055,5103,9775144,1924.2477850300018
1555099200000,5054.5,5085.5,5024.5,5075.5,11137139,2202.6045250099937
1555084800000,5070.5,5121.5,5051.5,5054.5,14852030,2927.949512420007
1555070400000,5073,5092,5056,5070.5,10882862,2145.1293232699923
1555056000000,5034.5,5096.5,5005,5073,13287153,2636.19471233
1555041600000,5022.5,5049,5004.5,5034.5,11518411,2292.0631886400042
1555027200000,5043,5044.5,4926,5022.5,11769715,2358.6275683000026
1555012800000,5072,5072,4985.5,5043,8022768,1592.0027164500023
1554998400000,5035,5086,5014,5072,7478827,1480.1769717799993
1554984000000,5049,5067.5,5011,5035,8811846,1746.7476103900008
1554969600000,5199,5206,4974,5049,16900046,3332.0378612900004
1554955200000,5197,5226,5163,5199,1930563,370.9948075699996
1554940800000,5315.5,5342,5185,5197,6263260,1193.040768759998
1554926400000,5401.5,5418.5,5170.5,5315.5,11293370,2145.755157769996
1554912000000,5284,5467,5264,5401.5,12723950,2365.9438808300097
1554897600000,5239.5,5289.5,5237,5284,1327479,251.91398925999968
1554883200000,5246.5,5258,5232,5239.5,343426,65.50563120999999
1554868800000,5219,5280,5219,5246.5,1278591,243.3112375999993
1554854400000,5187,5245,5167,5219,2134831,409.82938778999977
1554840000000,5212.5,5244.5,5155.5,5187,1432195,275.8631765100001
1554825600000,5207.5,5234,5206,5212.5,447212,85.70412928000013
1554811200000,5209,5245,5190.5,5207.5,2850459,546.8061930700006
1554796800000,5220,5240.5,5151,5209,4374995,843.7362039499974
1554782400000,5239.5,5249.5,5145,5220,2494056,478.50790314999955
1554768000000,5287.5,5287.5,5211.5,5239.5,1578131,300.7859345000003
1554753600000,5196.5,5320,5190.5,5287.5,953688,181.54249109
1554739200000,5234.5,5246,5184.5,5196.5,955153,183.5058524300001
1554724800000,5141,5248.5,5137.5,5234.5,1195005,229.21065897000008
